D1S1656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allele,Entire Database,Africa,America,Asia,Europe,AUSTRIA,BELGIUM,BOSNIA AND HERZEGOWINA,CROATIA,CZECH REPUBLIC,DENMARK,DOMINICAN REPUBLIC,FINLAND,FRANCE,GERMANY,GREECE,HUNGARY,IRELAND,ITALY,KENYA,MONTENEGRO,NETHERLANDS,NORWAY,POLAND,SAUDI ARABIA,SLOVAKIA,SLOVENIA,SOUTH AFRICA,SPAIN,SWEDEN,SWITZERLAND,THAILAND,VIETNAM
21,"0,0701176","0,0701176","0,0629709","0,0756689",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21,1","0,000235294","0,000235294","0,000538213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"0,3","0,3","0,307858","0,293896",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"0,155294","0,155294","0,153929","0,156355",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"0,0821176","0,0821176","0,0861141","0,0790134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"0,0927059","0,0927059","0,101184","0,0861204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"0,0854118","0,0854118","0,0855759","0,0852843",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"0,0642353","0,0642353","0,0678149","0,0614548",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"0,0291765","0,0291765","0,0285253","0,0296823",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"0,012","0,012","0,0123789","0,0117057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"0,00705882","0,00705882","0,0080732","0,0062709",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30,1","0,000235294","0,000235294",,"0,00041806",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"0,00117647","0,00117647","0,00161464","0,00083612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"0,000470588","0,000470588","0,000538213","0,00041806",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3S1358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allele,Entire Database,Africa,America,Asia,Europe,AUSTRIA,BELGIUM,BOSNIA AND HERZEGOWINA,CROATIA,CZECH REPUBLIC,DENMARK,DOMINICAN REPUBLIC,FINLAND,FRANCE,GERMANY,GREECE,HUNGARY,IRELAND,ITALY,KENYA,MONTENEGRO,NETHERLANDS,NORWAY,POLAND,SAUDI ARABIA,SLOVAKIA,SLOVENIA,SOUTH AFRICA,SPAIN,SWEDEN,SWITZERLAND,THAILAND,VIETNAM
,17477,1243,1000,4523,10711,222,206,171,500,200,200,1000,230,208,785,208,224,304,929,510,200,2084,202,206,523,247,907,733,453,425,1600,3000,1000
9,"0,000143045",,"0,0025",,,,,,,,,"0,0025",,,,,,,,,,,,,,,,,,,,,
10,"0,0000858271",,,,"0,000140043",,,,,,,,,,,,,"0,00164474","0,000538213",,,"0,000239923",,,,,,,,,,,
11,"0,000972707","0,000402253","0,0005","0,000221092","0,00140043","0,0045045",,,"0,001",,"0,0075","0,0005","0,00217391","0,00240385","0,00254777",,,,"0,000538213","0,000980392",,"0,00191939",,,,,,,"0,00110375","0,00588235","0,0009375",,"0,001"
12,"0,000743835","0,00160901","0,004","0,00055273","0,000420129",,"0,00728155",,,,,"0,004",,,"0,000636943",,,"0,00164474",,"0,00196078",,,,,,,"0,000551268","0,00136426","0,00331126",,,"0,000666667","0,0005"
13,"0,00357613","0,00241352","0,006","0,0043113","0,00317431",,"0,00728155","0,00292398",,"0,0025",,"0,006","0,00652174","0,00480769","0,00573248",,"0,00669643",,"0,00322928","0,00294118",,"0,00599808","0,00247525","0,00485437","0,00669216",,"0,00110254","0,00204638","0,00331126","0,00352941","0,00125","0,00466667","0,002"
14,"0,0901184","0,0868866","0,0875","0,0421181","0,111007","0,0990991","0,101942","0,0935673","0,101","0,105","0,0975","0,0875","0,0934783","0,115385","0,119108","0,0673077","0,0870536","0,159539","0,0958019","0,0656863","0,1175","0,122841","0,131188","0,152913","0,0602294","0,0890688","0,0931643","0,101637","0,109272","0,105882","0,119063","0,04","0,039"
15,"0,26964","0,316573","0,3005","0,286757","0,254085","0,261261","0,237864","0,266082","0,254","0,255","0,28","0,3005","0,319565","0,257212","0,264331","0,21875","0,247768","0,279605","0,227126","0,32549","0,2575","0,246641","0,24505","0,276699","0,239006","0,265182","0,248071","0,310368","0,235099","0,272941","0,261562","0,293167","0,2925"
"15,2","0,0000572181",,"0,0005","0,000110546",,,,,,,,"0,0005",,,,,,,,,,,,,"0,000956023",,,,,,,,
16,"0,279253","0,30008","0,288","0,343909","0,248716","0,272523","0,237864","0,207602","0,259","0,2575","0,2225","0,288","0,25","0,266827","0,240127","0,245192","0,245536","0,246711","0,251884","0,311765","0,2925","0,241603","0,262376","0,220874","0,313576","0,271255","0,257993","0,291951","0,264901","0,241176","0,245625","0,342167","0,365"
"16,2","0,0000572181","0,000402253",,"0,000110546",,,,,,,,,,,,,,,,"0,000980392",,,,,"0,000956023",,,,,,,,
17,"0,219918","0,213194","0,2135","0,241101","0,212352","0,198198","0,240291","0,204678","0,201","0,2225","0,255","0,2135","0,206522","0,182692","0,199363","0,257212","0,227679","0,189145","0,245963","0,239216","0,1675","0,216411","0,212871","0,18932","0,26673","0,194332","0,210584","0,195089","0,192053","0,229412","0,204687","0,238","0,237"
"17,1","0,000028609",,,,"0,000046681",,,,,,,,,,"0,000636943",,,,,,,,,,,,,,,,,,
"17,2","0,0000858271","0,000804505","0,0005",,,,,,,,,"0,0005",,,,,,,,"0,00196078",,,,,,,,,,,,,
18,"0,124449","0,0740145","0,09","0,0725182","0,155448","0,15991","0,167476","0,21345","0,161","0,1475","0,125","0,09","0,117391","0,158654","0,15414","0,189904","0,162946","0,113487","0,159311","0,0470588","0,15","0,154271","0,131188","0,148058","0,105163","0,168016","0,168688","0,0927694","0,1766","0,130588","0,153438","0,072","0,057"
